,county,num_blocks,num_tracts
981,21173,853,6
982,21175,775,5
983,21177,2052,9
984,21179,1570,9
985,21181,576,2
986,21183,1752,7
987,21185,1151,14
988,21187,666,3
989,21189,448,2
990,21191,769,3
991,21193,1685,8
992,21195,2368,19
993,21197,655,2
994,21199,3031,14
995,21201,152,1
996,21203,863,4
997,21205,928,4
998,21207,1135,5
999,21209,1551,14
1000,21211,1398,9
1001,21213,785,4
1002,21215,513,4
1003,21217,1035,5
1004,21219,817,4
1005,21221,1591,5
1006,21223,393,2
1007,21225,1272,4
1008,21227,3271,24
1009,21229,786,3
1010,21231,1095,5
1011,21233,1168,4
1012,21235,1726,8
1013,21237,536,2
1014,21239,672,8
1015,22001,3105,12
1016,22003,1416,5
1017,22005,2711,14
1018,22007,1315,6
1019,22009,2337,9
1020,22011,3626,7
1021,22013,2040,5
1022,22015,3396,22
1023,22017,9229,64
1024,22019,5561,44
1025,22021,988,3
1026,22023,1651,3
1027,22025,1584,3
1028,22027,1832,5
1029,22029,2003,5
1030,22031,2922,7
1031,22033,7896,92
1032,22035,827,3
1033,22037,765,5
1034,22039,2195,8
1035,22041,2564,6
1036,22043,1912,5
1037,22045,2935,16
1038,22047,1637,7
1039,22049,1397,5
1040,22051,10454,127
1041,22053,2196,7
1042,22055,5309,43
1043,22057,4397,24
1044,22059,1978,3
1045,22061,1647,10
1046,22063,2929,17
1047,22065,2025,5
1048,22067,1811,8
1049,22069,3493,9
1050,22071,13932,177
1051,22073,5761,40
1052,22075,3843,9
1053,22077,1574,6
1054,22079,5536,33
1055,22081,917,2
1056,22083,2214,6
1057,22085,2442,7
1058,22087,3537,18
1059,22089,2890,13
1060,22091,565,2
1061,22093,1671,7
1062,22095,1891,11
1063,22097,4479,19
1064,22099,2539,11
1065,22101,4427,17
1066,22103,10141,43
1067,22105,3501,20
1068,22107,1572,3
1069,22109,4460,22
1070,22111,2367,6
1071,22113,3377,13
1072,22115,5143,12
1073,22117,2583,11
1074,22119,3604,11
1075,22121,1518,5
1076,22123,1081,3
1077,22125,707,3
1078,22127,2092,4
1079,23001,2855,28
1080,23003,8818,24
1081,23005,8333,67
1082,23007,2527,9
1083,23009,5028,18
1084,23011,4149,31
1085,23013,2405,11
1086,23015,2426,10
1087,23017,4079,17
1088,23019,6393,46
1089,23021,3171,8
1090,23023,1492,9
1091,23025,4323,17
1092,23027,2101,8
1093,23029,4658,14
1094,23031,6760,41
1095,24001,5057,23
1096,24003,8908,105
1097,24005,15767,214
1098,24009,3164,19
1099,24011,2533,9
1100,24013,4638,38
1101,24015,4272,19
1102,24017,5689,31
1103,24019,4433,10
1104,24021,8356,61
1105,24023,2532,7
1106,24025,5472,57
1107,24027,4845,55
1108,24029,2198,6
1109,24031,10592,215
1110,24033,15536,218
1111,24035,1607,14
1112,24037,3150,18
1113,24039,2852,8
1114,24041,3561,11
1115,24043,5194,32
1116,24045,6180,19
1117,24047,5113,17
1118,24510,13598,200
1119,25001,12873,57
1120,25003,6767,39
1121,25005,12491,126
1122,25007,2101,5
1123,25009,15471,163
1124,25011,4692,18
1125,25013,11053,103
1126,25015,4464,36
1127,25017,29036,318
1128,25019,1369,6
1129,25021,13583,130
1130,25023,12695,101
1131,25025,9170,204
1132,25027,21743,172
1133,08001,10351,97
1134,08003,1125,4
1135,08005,9118,147
1136,08007,1183,4
1137,08009,1188,2
1138,08011,1138,1
1139,08013,7368,68
1140,08014,1419,18
1141,08015,1898,5
1142,08017,612,1
1143,08019,1483,3
1144,08021,1150,2
1145,08023,2833,2
1146,08025,537,1
1147,08027,1206,1
1148,08029,1989,7
1149,08031,11039,144
1150,08033,673,1
1151,08035,5568,61
1152,08037,3686,14
1153,08039,1118,7
1154,08041,18690,130
1155,08043,3285,14
1156,08045,4329,11
1157,08047,835,1
1158,08049,2749,3
1159,08051,3628,4
1160,08053,509,1
1161,08055,2024,2
1162,08057,1080,1
1163,08059,10139,138
1164,08061,673,1
1165,08063,1382,3
1166,08065,946,2
1167,08067,2928,10
1168,08069,10976,73
1169,08071,2764,6
1170,08073,1458,2
1171,08075,2523,6
1172,08077,5552,29
1173,08079,429,1
1174,08081,2275,4
1175,08083,2649,7
1176,08085,3077,10
1177,08087,2299,8
1178,08089,3170,7
1179,08091,740,1
1180,08093,2759,5
1181,08095,1003,2
1182,08097,1164,4
1183,08099,2057,5
1184,08101,7856,55
1185,08103,2267,2
1186,08105,1488,3
1187,08107,2610,8
1188,08109,1671,2
1189,08111,285,1
1190,08113,1191,4
1191,08115,736,1
1192,08117,2159,5
1193,08119,1835,6
1194,08121,1393,2
1195,08123,9901,77
1196,08125,2896,2
1197,26001,1464,6
1198,26003,1946,4
1199,26005,4248,25
1200,26007,1855,10
1201,26009,2426,8
1202,26011,1735,7
1203,26013,2024,3
1204,26015,2580,11
1205,26017,3682,27
1206,26019,1709,6
1207,26021,6231,49
1208,26023,2329,12
1209,26025,5277,39
1210,26027,2624,11
1211,26029,2148,14
1212,26031,3242,9
1213,26033,3674,16
1214,26035,2787,11
1215,26037,2865,22
1216,26039,3292,5
1217,26041,2961,13
1218,26043,2454,7
1219,26045,3395,28
1220,26047,2068,9
1221,26049,8986,131
1222,26051,1775,9
1223,26053,2030,8
1224,26055,3580,17
1225,26057,2393,10
1226,26059,2631,12
1227,26061,2736,12
1228,26063,3298,13
1229,26065,6467,81
1230,26067,2743,13
1231,26069,2406,10
1232,26071,2682,5
1233,26073,2595,15
1234,26075,5239,38
1235,26077,5785,57
1236,26079,2781,5
1237,26081,11666,128
1238,26083,858,3
1239,26085,2105,4
1240,26087,3050,24
1241,26089,1751,7
1242,26091,3802,23
1243,26093,4974,61
1244,26095,1353,4
1245,26097,1856,6
1246,26099,13278,217
1247,26101,2380,10
1248,26103,5635,25
1249,26105,2229,9
1250,26107,2671,11
1251,26109,2221,8
1252,26111,2676,19
1253,26113,1672,4
1254,26115,4661,39
1255,26117,3149,13
1256,26119,2399,5
1257,26121,5581,43
1258,26123,3483,11
1259,26125,20596,338
1260,26127,3449,8
1261,26129,1948,7
1262,26131,1605,4
1263,26133,2090,6
1264,26135,1988,5
1265,26137,2308,6
1266,26139,5509,54
1267,26141,2088,7
1268,26143,2802,10
1269,26145,6713,56
1270,26147,5261,50
1271,26149,3876,17
1272,26151,2678,13
1273,26153,2072,4
1274,26155,3074,17
1275,26157,2985,14
1276,26159,3466,16
1277,26161,6541,100
1278,26163,35943,611
1279,26165,2300,8
1280,27001,2474,6
1281,27003,7856,83
1282,27005,3423,10
1283,27007,3067,10
1284,27009,1531,9
1285,27011,1147,3
1286,27013,3250,16
1287,27015,1775,8
1288,27017,2315,7
1289,27019,3288,19
1290,27021,3972,10
1291,27023,2024,4
1292,27025,2193,10
1293,27027,2925,13
1294,27029,1690,3
1295,27031,2186,3
1296,27033,1734,4
1297,27035,5276,16
1298,27037,6811,95
1299,27039,1613,5
1300,27041,2464,9
1301,27043,2540,6
1302,27045,2534,6
1303,27047,3318,10
1304,27049,2808,10
1305,27051,1242,2
1306,27053,19175,299
1307,27055,1582,5
1308,27057,2755,7
1309,27059,2325,8
1310,27061,5615,11
1311,27063,1588,4
1312,27065,1415,4
1313,27067,3138,12
1314,27069,1904,2
1315,27071,2414,4
1316,27073,1785,3
1317,27075,2367,4
1318,27077,1469,2
1319,27079,1995,6
1320,27081,1455,2
1321,27083,2266,7
1322,27085,2627,7
1323,27087,915,2
1324,27089,2547,4
1325,27091,2400,6
1326,27093,2751,6
1327,27095,2166,7
1328,27097,3275,8
1329,27099,2897,11
1330,27101,1626,3
1331,27103,1945,7
1332,27105,2271,6
1333,27107,1673,3
1334,27109,4578,33
1335,27111,6828,17
1336,27113,1531,5
1337,27115,3150,8
1338,27117,1678,5
1339,27119,4037,10
1340,27121,1496,4
1341,27123,8548,137
1342,27125,845,2
1343,27127,2763,6
1344,27129,2808,6
1345,27131,2342,13
1346,27133,1321,3
1347,27135,2534,5
1348,27137,13331,67
1349,27139,2734,21
1350,27141,2608,11
1351,27143,1689,4
1352,27145,7317,29
1353,27147,1669,8
1354,27149,1115,3
1355,27151,2168,4
1356,27153,2505,8
1357,27155,1020,2
1358,27157,2317,6
1359,27159,1549,3
1360,27161,1496,5
1361,27163,5966,50
1362,27165,1453,3
1363,27167,1557,2
1364,27169,3032,10
1365,27171,4039,17
1366,27173,1956,4
1367,28001,1785,9
1368,28003,2076,7
1369,28005,1422,3
